repo,url,license,license_type,note,report
13f/aman,https://github.com/13f/aman,AGPL-3.0,强 copyleft,,reports/13f__aman.md
249469326i-lang/api-monitor,https://github.com/249469326i-lang/api-monitor,MIT,宽松许可,**适合谁**：API 中转/多供应商用户。,reports/249469326i-lang__api-monitor.md
2921323707/CPA_Orbit,https://github.com/2921323707/CPA_Orbit,MIT,宽松许可,,reports/2921323707__CPA_Orbit.md
AQBot-Desktop/AQBot,https://github.com/AQBot-Desktop/AQBot,AGPL-3.0,强 copyleft,,reports/AQBot-Desktop__AQBot.md
Arcadia822/mystra,https://github.com/Arcadia822/mystra,MIT,宽松许可,,reports/Arcadia822__mystra.md
CJackHwang/SunamAI,https://github.com/CJackHwang/SunamAI,AGPL-3.0,强 copyleft,,reports/CJackHwang__SunamAI.md
CJackHwang/ds2api,https://github.com/CJackHwang/ds2api,AGPL-3.0,强 copyleft,**AGPL-3.0 许可证**：派生分发需遵守 copyleft,reports/CJackHwang__ds2api.md
CNife/pi-extensions,https://github.com/CNife/pi-extensions,MIT,宽松许可,,reports/CNife__pi-extensions.md
CSZHK/goal-conditions,https://github.com/CSZHK/goal-conditions,MIT,宽松许可,,reports/CSZHK__goal-conditions.md
Cai-aa/CAE-Agent-Hub,https://github.com/Cai-aa/CAE-Agent-Hub,MIT,宽松许可,让 AI 编码客户端（Codex/Cursor/Claude Code/Claude Desktop）与真实 CAE 工具协作：Abaqus/CAE、ANSYS Fluent、Workbench Mechanical、ANSYS Electronics Desktop/HFSS 的 MCP 服务器；Abaqus 有限元技能；Text to CAE 浏览器查看器；示例工作流保持求解器二进制/许可证/私有路径/结果不入库。；敏感内容（许可证/路径/结果）通过约定排除在源码外,reports/Cai-aa__CAE-Agent-Hub.md
Caxson/swiftagentx,https://github.com/Caxson/swiftagentx,Apache-2.0,宽松许可,,reports/Caxson__swiftagentx.md
Chasen-Liao/SuperMew,https://github.com/Chasen-Liao/SuperMew,MIT,宽松许可,,reports/Chasen-Liao__SuperMew.md
Chasen-Liao/pi-agent-desktop,https://github.com/Chasen-Liao/pi-agent-desktop,MIT,宽松许可,,reports/Chasen-Liao__pi-agent-desktop.md
CiferaTeam/GitIM,https://github.com/CiferaTeam/GitIM,Apache-2.0,宽松许可,,reports/CiferaTeam__GitIM.md
CisaSettle/bluffking,https://github.com/CisaSettle/bluffking,AGPL-3.0,强 copyleft,,reports/CisaSettle__bluffking.md
Codegass/Setup-Agent,https://github.com/Codegass/Setup-Agent,MIT,宽松许可,,reports/Codegass__Setup-Agent.md
CodingThrust/problem-reductions,https://github.com/CodingThrust/problem-reductions,MIT,宽松许可,,reports/CodingThrust__problem-reductions.md
CreminiAI/skillpack,https://github.com/CreminiAI/skillpack,MIT,宽松许可,,reports/CreminiAI__skillpack.md
DarkNoah/aime-chat,https://github.com/DarkNoah/aime-chat,MIT,宽松许可,,reports/DarkNoah__aime-chat.md
